Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 508000  Y 647000
X 514000  Y 647500
X 483000  Y 668000
X 496000  Y 684500
X 508000  Y 696500
X 484500  Y 698600
X 481500  Y 796000
X 490000  Y 810500
X 484500  Y 840000
X 524500  Y 840500
X 516500  Y 848500
X 485500  Y 864000
X 505500  Y 866000
X 526500  Y 868000
X 537500  Y 868500
X 578100  Y 857500
X 537500  Y 845500
X 577500  Y 845000
X 544500  Y 842048
X 552500  Y 814500
X 545000  Y 795500
X 559000  Y 778000
X 548000  Y 751000
X 560000  Y 737000
X 530700  Y 667800
X 579500  Y 661500
X 574181  Y 633700
X 531000  Y 632500
X 557800  Y 568200
X 614805  Y 543679
X 612000  Y 554000
X 628000  Y 624000
X 610000  Y 676000
X 627500  Y 677300
X 596000  Y 833000
X 617000  Y 833000
X 620000  Y 848500
X 582000  Y 859500
X 625500  Y 864000
X 615500  Y 870500
X 595500  Y 870500
X 635500  Y 870500
X 636500  Y 848500

Drill: .037  Tool: 2  Feed: 197  Speed: 550
X 398725  Y 755400
X 398725  Y 765400
X 488243  Y 765820
X 443694  Y 765400
X 465968  Y 765400
X 421000  Y 765400
X 488243  Y 755820
X 465968  Y 755400
X 443694  Y 755400
X 421000  Y 755400
X 510517  Y 755820
X 510517  Y 765820

Drill: .03937  Tool: 3  Feed: 197  Speed: 550
X 591998  Y 738618
X 599872  Y 738618
X 599872  Y 748461
X 591998  Y 748461

Drill: .04  Tool: 4  Feed: 139  Speed: 550
X 216100  Y 736100
X 226100  Y 741100
X 216100  Y 746100
X 226100  Y 751100
X 216100  Y 756100
X 226100  Y 761100

Drill: .06299  Tool: 5  Feed: 89  Speed: 550
X 204055  Y 494650
X 220590  Y 494650
X 204055  Y 516350
X 220590  Y 516350
X 220590  Y 931150
X 204055  Y 931150
X 220590  Y 952850
X 204055  Y 952850
X 253661  Y 952850
X 237125  Y 952850
X 270196  Y 952850
X 253661  Y 931150
X 270196  Y 931150
X 237125  Y 931150
X 253661  Y 516350
X 237125  Y 516350
X 270196  Y 516350
X 270196  Y 494650
X 237125  Y 494650
